Year,MAE,RMSE,MdAPE,Model
2016,9.76,12.78,20.46,naive
2017,12.78,19.91,18.81,naive
2018,12.1,14.11,18.97,naive
2019,12.87,16.07,18.36,naive
2020,22.55,25.77,47.48,naive
2021,74.2,101.58,58.06,naive
2022,177.42,208.61,70.25,naive
2023,163.45,187.17,134.58,naive
2024,52.12,76.66,38.52,naive
2016,9.36,12.1,19.35,glm
2017,8.4,14.46,11.01,glm
2018,7.81,9.95,11.05,glm
2019,18.51,20.56,29.63,glm
2020,10.73,13.59,20.95,glm
2021,20.38,31.5,13.3,glm
2022,87.67,109.66,30.54,glm
2023,34.9,46.85,24.59,glm
2024,26.99,54.34,16.23,glm
2016,10.65,14.26,21.46,dt
2017,11.91,19.51,15.58,dt
2018,12.91,18.78,16.42,dt
2019,19.25,21.77,29.08,dt
2020,16.62,20.5,32.64,dt
2021,51.07,81.28,28.11,dt
2022,96.35,122.45,32.17,dt
2023,48.9,62.37,36.25,dt
2024,38.15,61.46,28.66,dt
2016,9.55,12.13,20.61,rf
2017,10.38,16.61,14.92,rf
2018,9.17,11.67,13.3,rf
2019,18.36,20.14,29.07,rf
2020,12.88,15.72,26.88,rf
2021,49.59,81.22,24.11,rf
2022,90.39,116.96,30.56,rf
2023,39.15,49.66,29.23,rf
2024,30.09,53.45,21.8,rf
2016,9.01,11.52,19.7,lgbm
2017,9.99,16.15,14.59,lgbm
2018,9.25,11.93,13.33,lgbm
2019,18.41,20.15,28.84,lgbm
2020,13.43,16.2,28.76,lgbm
2021,53.49,85.22,27.09,lgbm
2022,93.12,123.78,30.59,lgbm
2023,34.73,44.6,26.05,lgbm
2024,26.09,51.48,17.06,lgbm
2016,8.95,12.05,18.3,dt_GR_tuned
2017,10.51,18.02,13.65,dt_GR_tuned
2018,11.89,15.33,16.88,dt_GR_tuned
2019,13.29,15.25,20.47,dt_GR_tuned
2020,12.88,15.85,27.37,dt_GR_tuned
2021,61.51,94.03,38.66,dt_GR_tuned
2022,96.45,119.82,33.2,dt_GR_tuned
2023,56.33,67.66,45.37,dt_GR_tuned
2024,35.59,59.1,25.75,dt_GR_tuned
2016,9.09,11.75,19.59,rf_GR_tuned
2017,9.94,16.54,13.97,rf_GR_tuned
2018,9.7,12.25,14.17,rf_GR_tuned
2019,15.02,16.79,23.13,rf_GR_tuned
2020,12.89,15.61,28.0,rf_GR_tuned
2021,53.67,85.98,28.0,rf_GR_tuned
2022,92.05,115.8,32.59,rf_GR_tuned
2023,42.79,53.4,33.66,rf_GR_tuned
2024,29.83,53.67,21.25,rf_GR_tuned
2016,2.41,3.76,4.19,lgbm_GR_tuned
2017,4.61,7.25,6.1,lgbm_GR_tuned
2018,4.61,6.29,5.94,lgbm_GR_tuned
2019,8.12,10.27,10.8,lgbm_GR_tuned
2020,7.01,9.92,12.38,lgbm_GR_tuned
2021,6.96,9.47,5.25,lgbm_GR_tuned
2022,14.01,19.4,3.91,lgbm_GR_tuned
2023,9.95,13.64,6.52,lgbm_GR_tuned
2024,19.28,37.24,12.65,lgbm_GR_tuned
