datetime,y,yhat_dt,yhat_pdt
69889,244.74,196.9,199.71591406908175
69890,211.3,172.94,212.46255813953482
69891,203.1,172.94,212.46255813953482
69892,199.0,172.0,212.46255813953482
69893,200.3,172.94,212.46255813953482
69894,255.94,204.61,256.15208768267223
69895,257.59,248.36,256.15208768267223
69896,265.35,248.36,256.15208768267223
69897,280.94,229.53,256.15208768267223
69898,254.19,264.14,226.13212209302313
69899,239.29,204.65,216.0779310344828
69900,237.2,204.65,216.0779310344828
69901,234.13,204.65,216.0779310344828
69902,234.3,204.65,216.0779310344828
69903,241.0,224.43,215.8017391304347
69904,255.39,252.02,256.15208768267223
69905,355.37,231.55,256.15208768267223
69906,370.37,313.78,292.6133600000001
69907,355.27,311.22,256.15208768267223
69908,375.37,313.78,292.6133600000001
69909,365.37,231.55,256.15208768267223
69910,252.29,205.28,256.15208768267223
69911,253.01,174.99,199.71591406908175
69912,241.0,184.0,199.71591406908175
69913,196.5,220.0,212.46255813953482
69914,220.0,177.86,212.46255813953482
69915,161.0,190.9,212.46255813953482
69916,154.56,190.9,212.46255813953482
69917,186.99,177.86,212.46255813953482
69918,247.13,202.88,212.46255813953482
69919,309.7,224.43,215.8017391304347
69920,278.14,262.86,256.15208768267223
69921,235.71,243.13,215.8017391304347
69922,231.03,204.65,111.53157828282839
69923,225.09,116.01,216.0779310344828
69924,214.58,243.13,226.13212209302313
69925,214.58,240.03,199.71591406908175
69926,214.58,242.55,199.71591406908175
69927,220.36,231.65,256.15208768267223
69928,246.59,262.86,256.15208768267223
69929,254.26,268.49,264.45461538461535
69930,305.86,270.9,292.6133600000001
69931,241.46,281.72,292.6133600000001
69932,308.9,303.0,292.6133600000001
69933,351.0,218.73,264.45461538461535
69934,254.32,240.0,256.15208768267223
69935,247.33,227.03,256.15208768267223
69936,234.39,242.55,199.71591406908175
69937,243.05,195.37,199.71591406908175
69938,363.15,205.0,212.46255813953482
69939,252.34,201.53,212.46255813953482
69940,245.78,201.53,212.46255813953482
69941,251.5,201.53,212.46255813953482
69942,253.99,215.56,212.46255813953482
69943,253.68,197.57,212.46255813953482
69944,253.48,196.81,212.46255813953482
69945,242.7,171.43,212.46255813953482
69946,192.0,104.0,61.32653542287289
69947,154.5,54.55,167.85451388888885
69948,147.32,161.73,167.85451388888885
69949,143.6,215.17,212.46255813953482
69950,146.86,54.55,61.32653542287289
69951,219.94,196.81,212.46255813953482
69952,253.04,224.43,215.8017391304347
69953,368.15,257.09,256.15208768267223
69954,368.15,257.09,256.15208768267223
69955,314.55,211.88,256.15208768267223
69956,325.57,285.28,256.15208768267223
69957,287.74,224.43,215.8017391304347
69958,251.36,243.13,215.8017391304347
69959,253.89,192.18,212.46255813953482
69960,245.28,186.93,212.46255813953482
69961,208.21,140.6,61.32653542287289
69962,206.8,54.0,61.32653542287289
69963,170.0,165.92,61.32653542287289
69964,126.75,119.0,61.32653542287289
69965,85.7,165.92,61.32653542287289
69966,155.0,170.8,61.32653542287289
69967,151.0,215.46,61.32653542287289
69968,129.14,215.46,61.32653542287289
69969,139.56,194.73,150.08651452282152
69970,180.13,189.25,150.08651452282152
69971,154.92,152.8,167.85451388888885
69972,140.0,152.8,167.85451388888885
69973,124.5,152.8,167.85451388888885
69974,95.6,152.8,167.85451388888885
69975,151.03,186.0,61.32653542287289
69976,203.88,136.95,171.14875862068953
69977,214.98,189.4,171.14875862068953
69978,235.23,136.1,212.46255813953482
69979,218.32,79.58,212.46255813953482
69980,288.36,129.22,212.46255813953482
69981,348.15,196.81,212.46255813953482
69982,343.05,189.4,212.46255813953482
69983,294.99,192.18,212.46255813953482
69984,276.11,170.2,212.46255813953482
69985,197.45,215.0,212.46255813953482
69986,209.25,99.47,61.32653542287289
69987,90.88,345.99,61.32653542287289
69988,50.0,345.99,61.32653542287289
69989,136.33,345.99,61.32653542287289
69990,209.7,99.47,61.32653542287289
69991,236.07,73.04,61.32653542287289
69992,212.32,75.42,212.46255813953482
69993,209.86,86.73,61.32653542287289
69994,212.32,186.0,167.85451388888885
69995,201.86,189.25,167.85451388888885
69996,198.42,189.25,167.85451388888885
69997,199.63,189.25,167.85451388888885
69998,197.05,186.0,167.85451388888885
69999,201.1,186.0,167.85451388888885
70000,236.89,58.0,61.32653542287289
70001,234.02,189.4,212.46255813953482
70002,237.88,99.36,195.1704385964913
70003,230.95,108.13,111.53157828282839
70004,259.0,110.0,82.45623115577884
70005,226.62,140.17,212.46255813953482
70006,216.79,189.4,212.46255813953482
70007,199.67,178.6,212.46255813953482
70008,153.0,167.62,212.46255813953482
70009,197.35,145.87,212.46255813953482
70010,161.09,67.3,61.32653542287289
